State,Law,EffectiveDate
Colorado,Amendment 64,2014-01-01
Washington,Initiative 502,2012-12-06
Alaska,Ballot Measure 2,2015-02-24
District of Columbia,Initiative 71,2015-02-26
Oregon,Measure 91,2015-07-01
California,Proposition 64,2018-01-01
Massachusetts,Question 4 Ballot Initiative,2016-12-15
Nevada,Question 2 Balot Initiative,2017-07-01
Vermont,H. 511 Bill,2018-01-22
